feature,coefficient
review_count_log,0.1896323098239768
price,0.08186463587218741
kw_바퀴 의자,0.08069383289876658
price_competitiveness,0.07089107672832981
rating,0.06546633886472827
kw_의자,-0.06120764033218473
brand_fame_log,0.0376800562968675
title_kw_ratio,0.026833632161190595
rating_z_score,-0.026405092832150766
has_review,-0.02505048762668505
kw_in_title,0.023435470404010058
cat4_좌식의자,-0.02285511833305535
today_ship,0.021789784126565463
is_lowest_price,0.020106709702870592
kw_사무용 의자,-0.01911651895712435
top_seller,0.01735524400456244
tomorrow_delivery,0.0166895913068628
has_brand,-0.013990846335802158
is_nobrand,0.013990846335770215
discount_rate,0.012096754472748418
title_length,0.01186794654870931
kw_학생 의자,-0.01126043797208158
free_return,0.010629690468518235
free_delivery,0.010603870194495282
cat4_스툴,-0.009945928075442898
kw_게이밍 의자,0.009169476565113667
review_count,-0.008446699305779097
cat4_결측,0.007057864979000221
category4_missing,0.007057864978998517
official_store,0.005001207199363872
cat4_목받침의자,0.0028839739031952675
cat4_기타,-0.002157681490290016
cat4_일반의자,0.001812307414126795
has_option,0.0
review_missing,0.0
